method,topics,window,ngram,p,r,f,mrr,mp,mr,mf,edge_omega,node_phi,topn
Ours,5,2,2,0.147058824,0.149541727,0.148289883,0.368235294,0.148509804,0.164317715,0.156014354,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,10,2,2,0.14705882352941177,0.14954172696575013,0.14828988280315716,0.36749019607843164,0.1485098039215689,0.16520006790595035,0.15641095098232352,1 3 1,[[ 0.95]] [[ 0.05]],5
sTPR,5,2,2,0.1309692671394799,0.1336227689339122,0.13228271251193888,0.2945882352941176,0.13235294117647087,0.14697130973601577,0.13927960102693832,,,5,
sTPR,10,2,2,0.12907801418439716,0.1316931982633864,0.13037249283667623,0.2946666666666667,0.13047058823529437,0.145816229522112,0.137717241773781,,,5,
sTPR,20,2,2,0.13191489361702127,0.1345875542691751,0.13323782234957018,0.3018039215686274,0.13329411764705906,0.14801332654273847,0.1402686361062598,,,5,
sTPR,50,2,2,0.1314420803782506,0.13410516160154365,0.13276026743075453,0.29533333333333334,0.13282352941176498,0.14735039470333605,0.1397103570328931,,,5,
Ours,20,2,2,0.1461100569259962,0.1485769416304872,0.14733317388184647,0.36737254901960803,0.1475686274509807,0.16333732280791113,0.15505309253946553,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,50,2,2,0.14570479354532512,0.14809454896285576,0.14688995215311007,0.36552941176470605,0.14709803921568657,0.1629647737883033,0.15462543510613677,1 3 1,[[ 0.95]] [[ 0.05]],5
sTPR,25,2,2,0.1309692671394799,0.1336227689339122,0.13228271251193888,0.29670588235294115,0.13235294117647084,0.14736346659876087,0.13945544618876418,,,5,
sTPR,30,2,2,0.12955082742316784,0.13217559093101786,0.1308500477554919,0.29749019607843136,0.1309411764705885,0.14609073932603361,0.1381017289924987,,,5,
Ours,3,2,2,0.14658444022770398,0.14905933429811866,0.14781152834250177,0.3681960784313728,0.14803921568627476,0.1634073508191156,0.15534411776676393,1 3 1,[[ 0.95]] [[ 0.05]],5
sTPR,25,2,2,0.12907801418439716,0.1316931982633864,0.13037249283667623,0.29317647058823526,0.1304705882352944,0.14532425091248638,0.13749742787062,,,5,
Ours,7,2,2,0.14658444022770398,0.14905933429811866,0.14781152834250177,0.369137254901961,0.14803921568627476,0.1642196757490876,0.15571023061280329,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,9,2,2,0.14712861888941622,0.14954172696575013,0.1483253588516746,0.3703921568627453,0.1485098039215689,0.16423928359222484,0.15597899259370018,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,15,2,2,0.1461794019933555,0.1485769416304872,0.14736842105263157,0.3688627450980394,0.14756862745098068,0.16284712672947974,0.15483187726248404,1 3 1,[[ 0.95]] [[ 0.05]],5
sTPR,15,2,2,0.13049645390070921,0.13314037626628075,0.13180515759312322,0.29592156862745095,0.13188235294117673,0.14663517528223427,0.13886804226303923,,,5,
sTPR,100,2,2,0.1314420803782506,0.13410516160154365,0.13276026743075453,0.30125490196078425,0.13282352941176495,0.14742509124862083,0.139743923787035,,,5,
sTPR,200,2,2,0.1309692671394799,0.1336227689339122,0.13228271251193888,0.29839215686274506,0.13235294117647087,0.14708895679483933,0.13933240639794497,,,5,
Ours,6,2,2,0.14563567362428842,0.14809454896285576,0.14685481942119108,0.3679215686274512,0.14709803921568654,0.16246617434852734,0.15440063572196408,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,8,2,2,0.14658444022770398,0.14905933429811866,0.14781152834250177,0.3687058823529413,0.1480392156862748,0.163945165945166,0.15558672299660178,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,11,2,2,0.14705882352941177,0.14954172696575013,0.14828988280315716,0.3691764705882355,0.1485098039215689,0.16431771496477388,0.15601435396177468,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,12,2,2,0.14800759013282733,0.15050651230101303,0.14924659172446783,0.37054901960784337,0.14945098039215715,0.1648779390544097,0.15678588963500478,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,13,2,2,0.14705882352941177,0.14954172696575013,0.14828988280315716,0.3688627450980394,0.1485098039215689,0.16419166454460582,0.1559575145373075,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,14,2,2,0.1461100569259962,0.1485769416304872,0.14733317388184647,0.3685098039215688,0.14756862745098068,0.16284712672947974,0.15483187726248404,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,100,2,2,0.14665401044138585,0.14905933429811866,0.14784688995215312,0.3687058823529413,0.1480392156862748,0.16402359731771501,0.15562203305938568,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,200,2,2,0.1461100569259962,0.1485769416304872,0.14733317388184647,0.3668235294117648,0.14756862745098068,0.16316085221967583,0.15497353544510561,1 3 1,[[ 0.95]] [[ 0.05]],5
CTR,,10,2,0.13505882352941176,0.1384466956102267,0.1367317770366841,0.315764705882353,0.13756862745098067,0.15179118920295404,0.14433037592622178,1 3 1,,5,
Ours,2,2,2,0.14753320683111953,0.15002411963338158,0.1487682372638125,0.37011764705882383,0.148980392156863,0.16448578219166463,0.15634960541481882,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,4,2,2,0.14658444022770398,0.14905933429811866,0.14781152834250177,0.36952941176470616,0.14803921568627476,0.16384712672947976,0.15554256044433062,1 3 1,[[ 0.95]] [[ 0.05]],5
Ours,16,2,2,0.14800759013282733,0.15050651230101303,0.14924659172446783,0.3700392156862747,0.14945098039215715,0.1648779390544097,0.15678588963500478,1 3 1,[[ 0.95]] [[ 0.05]],5
